# ----------------------------------------
# All Web Site Data
# User Explorer
# 20170101-20170228
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
627826445.1478080203,140,00:10:51,22.14%,US$0.00,0,0.00%
1453296577.1485645605,118,00:04:26,28.81%,US$0.00,0,0.00%
547943582.1466348977,118,00:19:42,11.86%,US$0.00,0,0.00%
1865157827.1485466579,114,00:10:43,2.63%,US$0.00,0,0.00%
1770914230.1484151005,104,00:10:24,6.73%,US$0.00,0,0.00%
803985045.1470995727,91,00:05:20,9.89%,US$0.00,0,0.00%
251059161.1479224250,90,00:03:42,13.33%,US$0.00,0,0.00%
1032389727.1479769067,84,00:01:49,4.76%,US$0.00,0,0.00%
445564055.1478426037,84,00:06:30,14.29%,US$0.00,0,0.00%
1330317416.1483193672,83,00:06:25,15.66%,US$0.00,0,0.00%
678565377.1483307176,82,00:15:59,8.54%,US$0.00,0,0.00%
150473183.1480396077,81,00:03:32,17.28%,US$0.00,0,0.00%
599687107.1480774662,80,00:06:51,7.50%,US$0.00,0,0.00%
1491425112.1482123175,78,00:11:07,10.26%,US$0.00,0,0.00%
965676048.1482971859,78,00:08:48,10.26%,US$0.00,0,0.00%
1540103946.1484029302,77,00:12:11,3.90%,US$0.00,0,0.00%
876652202.1481098603,77,00:10:50,15.58%,US$0.00,0,0.00%
1198893710.1480940015,76,00:05:08,10.53%,US$0.00,0,0.00%
59489437.1477780201,74,00:05:26,18.92%,US$0.00,0,0.00%
397402483.1479816841,72,00:05:07,6.94%,US$0.00,0,0.00%
327094459.1481103888,71,00:06:39,30.99%,US$0.00,0,0.00%
1880731437.1484786630,69,00:09:17,14.49%,US$0.00,0,0.00%
1488698039.1466623491,68,00:01:55,7.35%,US$0.00,0,0.00%
1203779117.1483291778,65,00:11:04,27.69%,US$0.00,0,0.00%
1501645345.1484968666,64,00:08:41,3.12%,US$0.00,0,0.00%
1127757818.1485814968,63,00:12:43,12.70%,US$0.00,0,0.00%
957819253.1485247925,61,00:06:27,11.48%,US$0.00,0,0.00%
124555321.1480205160,59,00:24:57,16.95%,US$0.00,0,0.00%
1185166945.1482742580,58,00:15:56,10.34%,US$0.00,0,0.00%
572249263.1485288407,57,00:07:36,3.51%,US$0.00,0,0.00%
1270935957.1484237070,55,00:07:37,14.55%,US$0.00,0,0.00%
1523809024.1484752173,55,00:07:16,14.55%,US$0.00,0,0.00%
2085364530.1479883198,55,00:04:03,25.45%,US$0.00,0,0.00%
711210841.1486522670,55,00:08:12,34.55%,US$0.00,0,0.00%
382145062.1484171898,54,00:07:31,33.33%,US$0.00,0,0.00%
800311478.1477647857,54,00:03:45,22.22%,US$0.00,0,0.00%
