# ----------------------------------------
# All Web Site Data
# User Explorer
# 20160901-20161031
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1855363533.1475020303,102,00:09:17,19.61%,US$0.00,0,0.00%
425141299.1469715492,101,00:04:10,24.75%,US$0.00,0,0.00%
1307566389.1472247517,87,00:18:45,19.54%,US$0.00,0,0.00%
244874025.1472553625,85,00:35:27,9.41%,US$0.00,0,0.00%
1421541564.1472384384,83,00:12:35,12.05%,US$0.00,0,0.00%
293007994.1473406740,83,00:04:58,13.25%,US$0.00,0,0.00%
1582832310.1470486487,80,00:07:14,6.25%,US$0.00,0,0.00%
1163512777.1472679457,79,00:04:30,7.59%,US$0.00,0,0.00%
283456444.1468415974,72,00:12:30,15.28%,US$0.00,0,0.00%
358000684.1472915191,72,00:08:21,13.89%,US$0.00,0,0.00%
1407669405.1468126069,70,00:10:05,8.57%,US$0.00,0,0.00%
1055391209.1470097543,69,00:07:32,27.54%,US$0.00,0,0.00%
1809364543.1471669480,64,00:05:35,12.50%,US$0.00,0,0.00%
566615923.1469774925,62,00:02:31,6.45%,US$0.00,0,0.00%
1488698039.1466623491,60,00:02:27,3.33%,US$0.00,0,0.00%
73343615.1473047610,58,00:08:43,20.69%,US$0.00,0,0.00%
152901586.1474434296,54,00:10:59,24.07%,US$0.00,0,0.00%
1686639600.1476176847,50,00:06:21,26.00%,US$0.00,0,0.00%
806760989.1474899339,49,00:08:27,4.08%,US$0.00,0,0.00%
891739741.1473045643,49,00:07:10,18.37%,US$0.00,0,0.00%
67734301.1470267743,48,00:07:37,6.25%,US$0.00,0,0.00%
2127548312.1474538427,43,00:08:07,0.00%,US$0.00,0,0.00%
680164398.1475705980,42,00:15:02,9.52%,US$0.00,0,0.00%
975969553.1473302916,42,00:13:53,4.76%,US$0.00,0,0.00%
1188869822.1472730297,40,00:02:43,15.00%,US$0.00,0,0.00%
1590549642.1473138562,39,00:09:29,12.82%,US$0.00,0,0.00%
1716138935.1473492478,39,00:11:15,10.26%,US$0.00,0,0.00%
2102582255.1471335308,39,00:04:06,7.69%,US$0.00,0,0.00%
362919564.1473060394,39,00:07:13,25.64%,US$0.00,0,0.00%
777085522.1476781602,39,00:08:12,12.82%,US$0.00,0,0.00%
1070997278.1472686993,38,00:03:21,23.68%,US$0.00,0,0.00%
2127457017.1470590471,38,00:03:45,7.89%,US$0.00,0,0.00%
964027097.1471647315,38,00:06:30,36.84%,US$0.00,0,0.00%
1706856631.1472803872,37,00:11:16,0.00%,US$0.00,0,0.00%
606703792.1471445084,37,00:03:10,21.62%,US$0.00,0,0.00%
7309657.1474628055,37,00:09:10,35.14%,US$0.00,0,0.00%
355841835.1471904293,36,00:08:41,8.33%,US$0.00,0,0.00%
816269433.1471006999,36,00:53:07,11.11%,US$0.00,0,0.00%
17862774.1472714517,35,00:08:07,14.29%,US$0.00,0,0.00%
1838707817.1473436249,35,00:04:57,28.57%,US$0.00,0,0.00%
54417436.1475900948,35,00:09:26,20.00%,US$0.00,0,0.00%
94132843.1470176210,35,00:07:50,5.71%,US$0.00,0,0.00%
1005520505.1474729567,34,00:07:31,5.88%,US$0.00,0,0.00%
1850022831.1471611639,34,00:03:59,35.29%,US$0.00,0,0.00%
