# ----------------------------------------
# All Web Site Data
# User Explorer
# 20170301-20170430
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
542474961.1486832073,161,00:01:36,79.50%,US$0.00,0,0.00%
547943582.1466348977,120,00:14:35,12.50%,US$0.00,0,0.00%
1216614750.1486468539,119,00:24:05,2.52%,US$0.00,0,0.00%
1166869672.1487381455,115,00:04:51,14.78%,US$0.00,0,0.00%
80914750.1488499141,95,00:03:50,6.32%,US$0.00,0,0.00%
1880731437.1484786630,94,00:11:09,17.02%,US$0.00,0,0.00%
1685679409.1485857240,92,00:03:05,7.61%,US$0.00,0,0.00%
737323522.1490043968,91,00:12:39,12.09%,US$0.00,0,0.00%
882252803.1487356639,91,00:07:11,24.18%,US$0.00,0,0.00%
1385654833.1487563737,86,00:05:35,13.95%,US$0.00,0,0.00%
1237386067.1487950175,85,00:10:38,16.47%,US$0.00,0,0.00%
792126817.1477824343,82,00:01:44,20.73%,US$0.00,0,0.00%
327094459.1481103888,81,00:11:45,17.28%,US$0.00,0,0.00%
1501645345.1484968666,73,00:09:18,8.22%,US$0.00,0,0.00%
649132232.1488603001,73,00:06:57,12.33%,US$0.00,0,0.00%
803985045.1470995727,69,00:05:09,11.59%,US$0.00,0,0.00%
1032389727.1479769067,67,00:00:56,5.97%,US$0.00,0,0.00%
1127757818.1485814968,66,00:05:53,16.67%,US$0.00,0,0.00%
894646245.1480295114,66,00:14:50,19.70%,US$0.00,0,0.00%
1849155857.1484913033,64,00:30:23,4.69%,US$0.00,0,0.00%
999595828.1474522970,64,00:03:27,18.75%,US$0.00,0,0.00%
1096418131.1489516648,63,00:01:31,28.57%,US$0.00,0,0.00%
1305141370.1488581190,63,00:03:51,11.11%,US$0.00,0,0.00%
1409915877.1488538136,63,00:04:40,7.94%,US$0.00,0,0.00%
1488698039.1466623491,63,00:01:26,3.17%,US$0.00,0,0.00%
445564055.1478426037,63,00:09:07,17.46%,US$0.00,0,0.00%
124555321.1480205160,62,00:41:20,12.90%,US$0.00,0,0.00%
366149616.1484449528,62,00:08:49,3.23%,US$0.00,0,0.00%
702796070.1485562417,62,00:06:40,8.06%,US$0.00,0,0.00%
1491425112.1482123175,60,00:08:26,6.67%,US$0.00,0,0.00%
251059161.1479224250,60,00:03:17,10.00%,US$0.00,0,0.00%
1329249885.1485079841,58,00:07:12,5.17%,US$0.00,0,0.00%
1428022949.1486676604,58,00:03:23,3.45%,US$0.00,0,0.00%
