# ----------------------------------------
# All Web Site Data
# User Explorer
# 20161101-20170101
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1700232804.1477804830,122,00:04:34,18.85%,US$0.00,0,0.00%
1032389727.1479769067,114,00:15:08,16.67%,US$0.00,0,0.00%
1208416192.1480120459,101,00:18:42,16.83%,US$0.00,0,0.00%
445564055.1478426037,101,00:09:18,13.86%,US$0.00,0,0.00%
627826445.1478080203,98,00:29:39,12.24%,US$0.00,0,0.00%
2074654310.1478308742,93,00:06:23,34.41%,US$0.00,0,0.00%
1362759992.1481723358,89,00:10:05,7.87%,US$0.00,0,0.00%
1751463642.1477703455,84,00:06:52,16.67%,US$0.00,0,0.00%
787582517.1478565351,82,00:05:10,6.10%,US$0.00,0,0.00%
1488698039.1466623491,80,00:03:26,7.50%,US$0.00,0,0.00%
680164398.1475705980,74,00:11:11,18.92%,US$0.00,0,0.00%
1906398890.1479565300,71,00:05:30,16.90%,US$0.00,0,0.00%
2143856519.1476046798,68,00:02:00,16.18%,US$0.00,0,0.00%
1207724832.1477978118,66,00:06:30,16.67%,US$0.00,0,0.00%
2025980719.1478918487,63,00:07:06,12.70%,US$0.00,0,0.00%
251059161.1479224250,63,00:06:22,11.11%,US$0.00,0,0.00%
293007994.1473406740,62,00:03:47,9.68%,US$0.00,0,0.00%
510566204.1417637647,61,00:03:45,14.75%,US$0.00,0,0.00%
9454875.1480861393,61,00:07:21,24.59%,US$0.00,0,0.00%
1499428707.1480129090,56,00:11:48,33.93%,US$0.00,0,0.00%
800311478.1477647857,56,00:07:26,25.00%,US$0.00,0,0.00%
599687107.1480774662,53,00:13:55,7.55%,US$0.00,0,0.00%
1263026843.1480628417,52,00:09:17,3.85%,US$0.00,0,0.00%
792126817.1477824343,51,00:02:12,11.76%,US$0.00,0,0.00%
11213562.1477327339,50,00:08:42,62.00%,US$0.00,0,0.00%
1198893710.1480940015,49,00:03:04,12.24%,US$0.00,0,0.00%
124555321.1480205160,49,00:19:25,12.24%,US$0.00,0,0.00%
510566204.1417637648,49,00:05:52,8.16%,US$0.00,0,0.00%
1274790902.1480310787,48,00:11:41,27.08%,US$0.00,0,0.00%
1855363533.1475020303,47,00:12:57,21.28%,US$0.00,0,0.00%
1957840496.1480889218,47,00:05:43,17.02%,US$0.00,0,0.00%
1622631799.1478789232,46,00:02:34,45.65%,US$0.00,0,0.00%
914822690.1480074861,44,00:24:16,27.27%,US$0.00,0,0.00%
660212104.1479168795,43,00:08:16,13.95%,US$0.00,0,0.00%
25398775.1475850654,42,00:21:05,16.67%,US$0.00,0,0.00%
327094459.1481103888,42,00:08:19,19.05%,US$0.00,0,0.00%
2065195344.1479062477,40,00:10:35,10.00%,US$0.00,0,0.00%
849934934.1476327821,40,00:00:50,82.50%,US$0.00,0,0.00%
1537029671.1476811393,39,00:18:34,33.33%,US$0.00,0,0.00%
686751459.1471953313,39,00:10:53,10.26%,US$0.00,0,0.00%
1315315826.1475309073,38,00:19:55,13.16%,US$0.00,0,0.00%
779953218.1478651140,38,00:04:25,13.16%,US$0.00,0,0.00%
999595828.1474522970,38,00:02:46,10.53%,US$0.00,0,0.00%
1169126141.1478390167,37,00:16:10,16.22%,US$0.00,0,0.00%
2067772049.1479037204,37,00:23:26,37.84%,US$0.00,0,0.00%
262449862.1470758598,37,00:04:15,5.41%,US$0.00,0,0.00%
414076116.1478089229,36,00:19:15,0.00%,US$0.00,0,0.00%
510566204.1417637645,36,00:05:11,0.00%,US$0.00,0,0.00%
